Ticker,Historical Vol Past 1 Year,Volume_Ratio,Avg_Volume_20d,Price_Change_1d,Price_Change_5d,Price_Change_20d,Options_Proxy,Put_Call_Proxy,Short_Ratio,Short_Percent
FTNT,0.44,0.55,11187305.0,2.92,1.15,-23.66,0.0006,0.3444,4.44,0.03
FOXA,0.27,0.77,3717605.0,0.66,1.82,4.85,0.0,0.7347,5.04,0.08
FOX,0.27,0.83,1088245.0,0.83,1.95,4.43,0.0,1.1667,4.06,0.03
GRMN,0.4,0.57,881170.0,2.76,1.54,0.12,0.0002,0.9355,3.11,0.02
IT,0.41,0.73,1736890.0,2.14,4.7,-29.93,0.0005,0.9122,3.15,0.04
GPN,0.41,0.88,2633320.0,5.0,3.71,4.96,0.0009,4.2803,3.49,0.03
GL,0.27,0.69,707730.0,1.16,4.29,4.52,0.0005,0.1396,1.79,0.02
HIG,0.23,0.98,1483465.0,0.62,2.65,8.65,0.0001,0.6515,2.04,0.02
HSY,0.29,0.68,1641010.0,1.15,1.93,-2.3,0.0002,0.5187,5.25,0.08
HPE,0.47,1.18,15426075.0,2.89,6.1,8.3,0.0004,0.0625,2.58,0.04
HON,0.25,0.97,3383315.0,2.49,2.8,-0.11,0.0008,0.2115,1.92,0.01
HWM,0.36,1.05,2854720.0,-1.3,-0.15,-9.71,0.0006,0.3065,4.25,0.04
HUBB,0.32,0.58,558623.0,3.11,3.09,-0.38,0.0006,0.4815,3.91,0.05
IDXX,0.41,0.44,793820.0,1.97,-0.81,14.22,0.0006,1.1983,4.68,0.04
IR,0.33,0.63,3453885.0,4.11,2.95,-8.63,0.0007,0.1064,4.58,0.04
PODD,0.37,0.71,703730.0,0.89,2.96,13.97,0.0017,2.6144,3.03,0.04
ICE,0.19,0.7,3193310.0,0.8,-0.29,-2.04,0.0002,0.9663,2.87,0.01
INTU,0.32,3.13,2031360.0,-5.03,-7.55,-15.69,0.0034,2.0793,3.18,0.02
ISRG,0.32,1.02,1980575.0,1.34,-0.85,-3.97,0.0006,0.6724,2.18,0.01
IQV,0.38,1.14,1415250.0,3.11,0.03,-4.03,0.0001,2.6,2.96,0.05
JKHY,0.22,0.94,820680.0,1.41,3.22,-6.12,0.0004,1.8611,6.67,0.05
J,0.24,0.7,749945.0,1.01,0.58,3.74,0.0,0.5625,3.82,0.02
JPM,0.28,1.12,7664005.0,1.64,1.98,-0.8,0.0036,0.422,2.47,0.01
LHX,0.21,0.65,1152785.0,-0.12,1.93,2.41,0.0004,0.4177,2.14,0.02
LII,0.34,1.2,364285.0,3.73,0.04,-10.43,0.0004,0.9213,4.55,0.06
LIN,0.18,1.2,1487480.0,0.2,0.33,1.86,0.0006,5.0379,3.15,0.01
LYV,0.29,0.85,2245535.0,2.0,2.98,8.27,0.0005,0.65,9.94,0.12
LULU,0.49,1.09,3486130.0,4.75,4.6,-5.4,0.0068,0.3655,1.92,0.07
MKTX,0.28,0.91,647995.0,1.01,-0.28,-10.38,0.0001,1.2609,3.62,0.04
MMC,0.18,0.59,2476225.0,-0.27,1.61,0.07,0.0005,10.9155,2.21,0.01
MLM,0.25,0.83,440195.0,1.19,-0.28,3.78,0.0002,0.8438,6.22,0.04
MA,0.22,0.9,2667170.0,1.19,2.97,5.41,0.0008,1.1718,1.93,0.01
META,0.36,0.78,13654200.0,2.12,-3.88,5.91,0.0106,0.5545,2.0,0.01
MSFT,0.25,1.07,22745945.0,0.59,-2.33,-1.1,0.004,0.4537,2.85,0.01
MOH,0.55,0.7,1700305.0,0.93,4.15,5.71,0.0005,1.3047,0.84,0.04
MCO,0.26,0.94,686415.0,1.28,-0.09,0.78,0.0016,5.6549,2.02,0.01
NFLX,0.33,1.06,2951600.0,-0.13,-2.77,2.05,0.0173,0.9393,1.63,0.02
NWSA,0.22,0.7,3495755.0,2.56,3.5,3.28,0.0,0.1042,2.81,0.02
NWS,0.22,0.69,813035.0,2.03,3.35,4.39,0.0,1.0,10.48,0.06
NVDA,0.52,1.07,160313450.0,1.72,-1.36,2.59,0.0043,0.502,1.17,0.01
ORLY,0.2,0.75,4655245.0,-0.54,0.76,4.76,0.0002,0.7399,2.48,0.01
OMC,0.3,1.4,3394205.0,2.84,4.42,4.18,0.0,1.5263,6.93,0.19
OKE,0.33,0.66,3585570.0,1.11,1.23,-7.05,0.0007,1.0539,3.69,0.02
ORCL,0.44,0.9,10424895.0,1.38,-4.8,-3.57,0.0018,0.4879,1.58,0.01
OTIS,0.25,1.34,4072165.0,1.15,1.32,-0.87,0.0001,0.3436,2.11,0.02
PH,0.32,0.93,778520.0,2.63,3.06,1.83,0.0005,0.5533,2.89,0.01
PAYC,0.4,0.98,710765.0,3.8,7.69,-2.06,0.0003,0.1707,4.33,0.05
PNR,0.27,0.84,1498225.0,3.98,3.45,5.36,0.0001,0.0827,1.21,0.02
PEP,0.22,0.66,7858685.0,0.44,-0.51,4.32,0.0006,0.8005,2.25,0.02
PCG,0.3,0.96,28274745.0,3.54,1.13,7.88,0.0002,0.6814,1.56,0.02
